cohort,label_scheme,horizon,format,expected_fixtures,observed_fixtures,complete_fixtures,incomplete_observed_fixtures,missing_fixtures,expected_queries,observed_queries,missing_queries
random,original,1,nested,100,100,100,0,0,400,400,0
random,original,1,path_explicit,100,100,100,0,0,400,400,0
random,original,1,inline,100,100,100,0,0,400,400,0
random,original,1,per_option,100,100,100,0,0,400,400,0
random,original,1,advice_only,100,100,100,0,0,400,400,0
random,original,1,dp_values,100,100,100,0,0,400,400,0
random,original,2,nested,100,100,100,0,0,400,400,0
random,original,2,path_explicit,100,100,100,0,0,400,400,0
random,original,2,inline,100,100,100,0,0,400,400,0
random,original,2,per_option,100,100,100,0,0,400,400,0
random,original,2,advice_only,100,100,100,0,0,400,400,0
random,original,2,dp_values,100,100,100,0,0,400,400,0
random,original,10,nested,100,100,100,0,0,400,400,0
random,original,10,path_explicit,100,100,100,0,0,400,400,0
random,original,10,inline,100,100,100,0,0,400,400,0
random,original,10,per_option,100,100,100,0,0,400,400,0
random,original,10,advice_only,100,100,100,0,0,400,400,0
random,original,10,dp_values,100,100,100,0,0,400,400,0
random,letters,1,nested,100,100,100,0,0,400,400,0
random,letters,1,path_explicit,100,100,100,0,0,400,400,0
random,letters,1,inline,100,100,100,0,0,400,400,0
random,letters,1,per_option,100,100,100,0,0,400,400,0
random,letters,1,advice_only,100,100,100,0,0,400,400,0
random,letters,1,dp_values,100,100,100,0,0,400,400,0
random,letters,2,nested,100,100,100,0,0,400,400,0
random,letters,2,path_explicit,100,100,100,0,0,400,400,0
random,letters,2,inline,100,100,100,0,0,400,400,0
random,letters,2,per_option,100,100,100,0,0,400,400,0
random,letters,2,advice_only,100,100,100,0,0,400,400,0
random,letters,2,dp_values,100,100,100,0,0,400,400,0
random,letters,10,nested,100,100,100,0,0,400,400,0
random,letters,10,path_explicit,100,100,100,0,0,400,400,0
random,letters,10,inline,100,100,100,0,0,400,400,0
random,letters,10,per_option,100,100,100,0,0,400,400,0
random,letters,10,advice_only,100,100,100,0,0,400,400,0
random,letters,10,dp_values,100,100,100,0,0,400,400,0
targeted,original,1,nested,100,100,100,0,0,400,400,0
targeted,original,1,path_explicit,100,100,100,0,0,400,400,0
targeted,original,1,inline,100,100,100,0,0,400,400,0
targeted,original,1,per_option,100,100,100,0,0,400,400,0
targeted,original,1,advice_only,100,100,100,0,0,400,400,0
targeted,original,1,dp_values,100,100,100,0,0,400,400,0
targeted,original,2,nested,100,100,100,0,0,400,400,0
targeted,original,2,path_explicit,100,100,100,0,0,400,400,0
targeted,original,2,inline,100,100,100,0,0,400,400,0
targeted,original,2,per_option,100,100,100,0,0,400,400,0
targeted,original,2,advice_only,100,100,100,0,0,400,400,0
targeted,original,2,dp_values,100,100,100,0,0,400,400,0
targeted,original,10,nested,100,100,100,0,0,400,400,0
targeted,original,10,path_explicit,100,100,100,0,0,400,400,0
targeted,original,10,inline,100,100,100,0,0,400,400,0
targeted,original,10,per_option,100,100,100,0,0,400,400,0
targeted,original,10,advice_only,100,100,100,0,0,400,400,0
targeted,original,10,dp_values,100,100,100,0,0,400,400,0
targeted,letters,1,nested,100,100,100,0,0,400,400,0
targeted,letters,1,path_explicit,100,100,100,0,0,400,400,0
targeted,letters,1,inline,100,100,100,0,0,400,400,0
targeted,letters,1,per_option,100,100,100,0,0,400,400,0
targeted,letters,1,advice_only,100,100,100,0,0,400,400,0
targeted,letters,1,dp_values,100,100,100,0,0,400,400,0
targeted,letters,2,nested,100,100,100,0,0,400,400,0
targeted,letters,2,path_explicit,100,100,100,0,0,400,400,0
targeted,letters,2,inline,100,100,100,0,0,400,400,0
targeted,letters,2,per_option,100,100,100,0,0,400,400,0
targeted,letters,2,advice_only,100,100,100,0,0,400,400,0
targeted,letters,2,dp_values,100,100,100,0,0,400,400,0
targeted,letters,10,nested,100,100,100,0,0,400,400,0
targeted,letters,10,path_explicit,100,100,100,0,0,400,400,0
targeted,letters,10,inline,100,100,100,0,0,400,400,0
targeted,letters,10,per_option,100,100,100,0,0,400,400,0
targeted,letters,10,advice_only,100,100,100,0,0,400,400,0
targeted,letters,10,dp_values,100,100,100,0,0,400,400,0
