cohort,label_scheme,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,comparison_role,expected_pairs,missing_pairs
random,letters,1,path_explicit,nested,advice_adherence,0.045,0.02,0.075,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,path_explicit,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,path_explicit,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,path_explicit,nested,distribution_exact_loss,-0.0008042748917748955,-0.001340992288961044,-0.0003530546536796612,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,inline,nested,advice_adherence,0.025,0.0025,0.0525,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,inline,nested,optimal_agreement,-0.005,-0.015,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,inline,nested,exact_loss,0.00045454545454545444,0.0,0.0013636363636363633,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,inline,nested,distribution_exact_loss,-0.00030543831168831486,-0.0006629092261904782,4.10788690476146e-05,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,per_option,nested,advice_adherence,0.04,0.0175,0.0675,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,per_option,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,per_option,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,per_option,nested,distribution_exact_loss,-0.0006925865800865825,-0.0011070177218614745,-0.00034693587662337755,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,advice_only,nested,advice_adherence,0.045,0.02,0.075,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,advice_only,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,advice_only,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,advice_only,nested,distribution_exact_loss,0.038966450216450205,0.032709395292207774,0.04548696158008657,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,dp_values,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,dp_values,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
random,letters,1,dp_values,nested,distribution_exact_loss,-0.0015543019480519513,-0.0024498254870129934,-0.000795507305194808,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,path_explicit,nested,advice_adherence,0.07,0.035,0.11,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,path_explicit,nested,optimal_agreement,0.05,0.02,0.0875,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,path_explicit,nested,exact_loss,-0.002296715060302015,-0.004190676827701283,-0.0008200646047792766,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,path_explicit,nested,distribution_exact_loss,-0.00593237878968857,-0.007262456138064834,-0.004740462759161127,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,inline,nested,advice_adherence,0.03,0.0075,0.0575,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,inline,nested,optimal_agreement,0.01,-0.005,0.0275,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,inline,nested,exact_loss,-0.0005074210210079757,-0.001468367683041594,0.0002922584661715105,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,inline,nested,distribution_exact_loss,-0.0019567576897739887,-0.0024429917365243374,-0.001491307478074456,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,per_option,nested,advice_adherence,0.055,0.0275,0.085,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,per_option,nested,optimal_agreement,0.035,0.0125,0.06,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,per_option,nested,exact_loss,-0.0020997453633323183,-0.003967863997415628,-0.0006405594405594405,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,per_option,nested,distribution_exact_loss,-0.0033463252960807327,-0.00402973393952063,-0.0027061684020237013,100,100,100,fixture,secondary_exploratory,100,0
random,letters,2,advice_only,nested,advice_adherence,0.07,0.035,0.11,100,100,100,fixture,secondary_exploratory,100,0
