cohort,format,contrast_type,fixed_factor,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,analysis_role
random,nested,label_scheme,horizon=1,letters,original,advice_adherence,0.0025,0.0,0.0075,100,100,100,fixture,secondary_exploratory
random,nested,label_scheme,horizon=2,letters,original,advice_adherence,-0.0175,-0.0325,-0.005,100,100,100,fixture,secondary_exploratory
random,nested,label_scheme,horizon=10,letters,original,advice_adherence,0.005,0.0,0.0125,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=original,2,1,advice_adherence,-0.005,-0.045,0.0325,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=original,10,1,advice_adherence,-0.0825,-0.1375,-0.0325,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=letters,2,1,advice_adherence,-0.025,-0.065,0.01,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=letters,10,1,advice_adherence,-0.08,-0.135,-0.0325,100,100,100,fixture,secondary_exploratory
random,nested,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,nested,label_scheme,horizon=2,letters,original,optimal_agreement,-0.0175,-0.0325,-0.005,100,100,100,fixture,secondary_exploratory
random,nested,label_scheme,horizon=10,letters,original,optimal_agreement,0.005,0.0,0.0125,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=original,2,1,optimal_agreement,-0.0325,-0.0675,-0.005,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=original,10,1,optimal_agreement,-0.11,-0.1675,-0.06,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=letters,2,1,optimal_agreement,-0.05,-0.085,-0.02,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=letters,10,1,optimal_agreement,-0.105,-0.16,-0.055,100,100,100,fixture,secondary_exploratory
random,nested,label_scheme,horizon=1,letters,original,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,nested,label_scheme,horizon=2,letters,original,exact_loss,0.0010972985347985336,0.00024999999999999914,0.0021359890109890096,100,100,100,fixture,secondary_exploratory
random,nested,label_scheme,horizon=10,letters,original,exact_loss,-0.00042770479763351024,-0.0010785083838302366,0.0,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=original,2,1,exact_loss,0.0011994165255034815,0.00018210050818746437,0.0025422148503670234,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=original,10,1,exact_loss,0.0073526658368162166,0.004047080941518526,0.011112099978015447,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=letters,2,1,exact_loss,0.002296715060302015,0.0007989401223776216,0.004193825015564145,100,100,100,fixture,secondary_exploratory
random,nested,horizon,labels=letters,10,1,exact_loss,0.006924961039182707,0.003761732462995366,0.010349056087068886,100,100,100,fixture,secondary_exploratory
random,path_explicit,label_scheme,horizon=1,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,label_scheme,horizon=2,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,label_scheme,horizon=10,letters,original,advice_adherence,0.0025,0.0,0.0075,100,100,100,fixture,secondary_exploratory
random,path_explicit,horizon,labels=original,2,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,horizon,labels=original,10,1,advice_adherence,-0.0025,-0.0075,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,horizon,labels=letters,2,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,horizon,labels=letters,10,1,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,label_scheme,horizon=2,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,label_scheme,horizon=10,letters,original,optimal_agreement,0.0025,0.0,0.0075,100,100,100,fixture,secondary_exploratory
random,path_explicit,horizon,labels=original,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,horizon,labels=original,10,1,optimal_agreement,-0.0025,-0.0075,0.0,100,100,100,fixture,secondary_exploratory
random,path_explicit,horizon,labels=letters,2,1,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
