cohort,label_scheme,horizon,format,metric,mean,ci_low,ci_high,n_fixtures
random,letters,1,advice_only,advice_adherence,1.0,1.0,1.0,100
random,letters,1,advice_only,distribution_advice_adherence,0.8447,0.8421500000000001,0.8472999999999999,100
random,letters,1,advice_only,optimal_agreement,1.0,1.0,1.0,100
random,letters,1,advice_only,exact_loss,0.0,0.0,0.0,100
random,letters,1,advice_only,distribution_exact_loss,0.04053988095238093,0.03434228760822509,0.046766355519480496,100
random,letters,1,advice_only,posterior_mean_greedy,1.0,1.0,1.0,100
random,letters,1,advice_only,prediction_entropy,0.4156884632664121,0.4116440710883183,0.41962787836556253,100
random,letters,1,advice_only,choice_mismatch,0.0,0.0,0.0,100
random,letters,1,dp_values,optimal_agreement,1.0,1.0,1.0,100
random,letters,1,dp_values,exact_loss,0.0,0.0,0.0,100
random,letters,1,dp_values,distribution_exact_loss,1.912878787878783e-05,2.6785714285713912e-06,4.204545454545433e-05,100
random,letters,1,inline,advice_adherence,0.98,0.96,0.995,100
random,letters,1,inline,distribution_advice_adherence,0.960175,0.9417250000000001,0.9769,100
random,letters,1,inline,optimal_agreement,0.995,0.985,1.0,100
random,letters,1,inline,exact_loss,0.00045454545454545444,0.0,0.0013636363636363633,100
random,letters,1,inline,distribution_exact_loss,0.0012679924242424243,0.0005813791937229423,0.002155770427489177,100
random,letters,1,inline,posterior_mean_greedy,0.995,0.985,1.0,100
random,letters,1,inline,prediction_entropy,0.08428975433673454,0.05487913001651241,0.11722066422300079,100
random,letters,1,inline,choice_mismatch,0.0,0.0,0.0,100
random,letters,1,nested,advice_adherence,0.955,0.925,0.98,100
random,letters,1,nested,distribution_advice_adherence,0.9467749999999999,0.9234250000000002,0.9679249999999999,100
random,letters,1,nested,optimal_agreement,1.0,1.0,1.0,100
random,letters,1,nested,exact_loss,0.0,0.0,0.0,100
random,letters,1,nested,distribution_exact_loss,0.0015734307359307393,0.0008064082792207842,0.0024549174783549824,100
random,letters,1,nested,posterior_mean_greedy,1.0,1.0,1.0,100
random,letters,1,nested,prediction_entropy,0.09493159640687025,0.06284033288998342,0.12870309327639745,100
random,letters,1,nested,choice_mismatch,0.0,0.0,0.0,100
random,letters,1,path_explicit,advice_adherence,1.0,1.0,1.0,100
random,letters,1,path_explicit,distribution_advice_adherence,0.9799500000000001,0.9714493749999998,0.987625,100
random,letters,1,path_explicit,optimal_agreement,1.0,1.0,1.0,100
random,letters,1,path_explicit,exact_loss,0.0,0.0,0.0,100
