experiment,family,k,horizon,policy,metric,mean,ci_low,ci_high,n,n_metric_missing
e8_evidence_online,close,3,100,bayes_direct,pseudo_regret,3.5518750000000034,3.0581250000000026,4.027500000000003,80,0
e8_evidence_online,close,3,100,bayes_direct,reward,50.5625,49.2625,51.875,80,0
e8_evidence_online,close,3,100,bayes_direct,posterior_mean_greedy,0.8375,0.780625,0.8903749999999999,80,0
e8_evidence_online,close,3,100,bayes_direct,unseen_fraction,0.021875,0.02,0.02375,80,0
e8_evidence_online,close,3,100,bayes_direct,switches,1.8625,1.475,2.275,80,0
e8_evidence_online,close,3,100,bayes_direct,arms_visited,2.1875,2.0,2.375,80,0
e8_evidence_online,close,3,100,bayes_direct,best_arm_fraction,0.28962499999999997,0.19725,0.3872531249999999,80,0
e8_evidence_online,close,3,100,bayes_direct,suffix_failure,0.675,0.5625,0.775,80,0
e8_evidence_online,close,3,100,bayes_direct,choice_mismatch_fraction,0.0,0.0,0.0,80,0
e8_evidence_online,close,3,100,bayes_ucb,pseudo_regret,2.9850000000000025,2.7024843750000027,3.2643750000000025,80,0
e8_evidence_online,close,3,100,bayes_ucb,reward,51.4,50.2871875,52.5125,80,0
e8_evidence_online,close,3,100,bayes_ucb,posterior_mean_greedy,0.7870000000000001,0.7653718749999999,0.8084999999999999,80,0
e8_evidence_online,close,3,100,bayes_ucb,unseen_fraction,0.030000000000000006,0.030000000000000006,0.030000000000000006,80,0
e8_evidence_online,close,3,100,bayes_ucb,switches,19.7375,18.4375,21.025,80,0
e8_evidence_online,close,3,100,bayes_ucb,arms_visited,3.0,3.0,3.0,80,0
e8_evidence_online,close,3,100,bayes_ucb,best_arm_fraction,0.403,0.347375,0.45999999999999996,80,0
e8_evidence_online,close,3,100,bayes_ucb,suffix_failure,0.1625,0.0875,0.25,80,0
e8_evidence_online,close,3,100,counts_direct,pseudo_regret,3.6081250000000034,3.1112500000000027,4.0943906250000035,80,0
e8_evidence_online,close,3,100,counts_direct,reward,50.6375,49.3625,51.925,80,0
e8_evidence_online,close,3,100,counts_direct,posterior_mean_greedy,0.748125,0.677496875,0.812,80,0
e8_evidence_online,close,3,100,counts_direct,unseen_fraction,0.018,0.016125,0.02,80,0
e8_evidence_online,close,3,100,counts_direct,switches,1.1,0.7875,1.4375,80,0
e8_evidence_online,close,3,100,counts_direct,arms_visited,1.8,1.6125,2.0,80,0
e8_evidence_online,close,3,100,counts_direct,best_arm_fraction,0.27837499999999993,0.18,0.37737499999999996,80,0
