target,k,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit
best_arm,2,means,counts,excess_brier,0.016105313674590817,0.003298226080523262,0.0304620794409155,100,100,100,episode
best_arm,2,means,counts,excess_log_loss,0.14025421211511635,0.07276325900729233,0.21034548213145493,100,100,100,episode
best_arm,2,means,counts,max_absolute_error,0.0175998362677391,0.0030346924931420037,0.033682475499777306,100,100,100,episode
best_arm,2,bayes,counts,excess_brier,0.003645294052153917,-0.008786323645752672,0.016414047936382965,100,100,100,episode
best_arm,2,bayes,counts,excess_log_loss,0.006963677324430706,-0.10277635069482803,0.10959732051078463,100,100,100,episode
best_arm,2,bayes,counts,max_absolute_error,0.005803682421585254,-0.008724762748973092,0.02069623284537287,100,100,100,episode
best_arm,2,bayes,means,excess_brier,-0.0124600196224369,-0.019431358520363894,-0.006522555326091874,100,100,100,episode
best_arm,2,bayes,means,excess_log_loss,-0.13329053479068562,-0.24762639923446822,-0.030471307384955612,100,100,100,episode
best_arm,2,bayes,means,max_absolute_error,-0.011796153846153847,-0.0205385576923077,-0.004350000000000001,100,100,100,episode
best_arm,3,means,counts,excess_brier,-0.01162905777055525,-0.038660817246484645,0.013461412514358315,100,100,100,episode
best_arm,3,means,counts,excess_log_loss,0.29481949277689856,0.11513300391234277,0.485110924107794,100,100,100,episode
best_arm,3,means,counts,max_absolute_error,-0.004992998530398018,-0.030235606657687125,0.01980389721190305,100,100,100,episode
best_arm,3,bayes,counts,excess_brier,-0.022728797317872612,-0.051463509624166376,0.004318938499212749,100,100,100,episode
best_arm,3,bayes,counts,excess_log_loss,0.13624274392964064,-0.028421271844626752,0.3125055325354859,100,100,100,episode
best_arm,3,bayes,counts,max_absolute_error,-0.021117884378813567,-0.04857067164211453,0.005433283525520318,100,100,100,episode
best_arm,3,bayes,means,excess_brier,-0.01109973954731736,-0.02080019168318741,-0.001890075076402692,100,100,100,episode
best_arm,3,bayes,means,excess_log_loss,-0.15857674884725792,-0.3148983507472719,-0.0051312690155004914,100,100,100,episode
best_arm,3,bayes,means,max_absolute_error,-0.016124885848415545,-0.027009642900207693,-0.0062103312060859655,100,100,100,episode
best_arm,5,means,counts,excess_brier,0.025792126659976978,-0.0023147323257404436,0.05284534789859142,100,100,100,episode
best_arm,5,means,counts,excess_log_loss,0.8630222127568429,0.6482285106393822,1.0851092337410113,100,100,100,episode
best_arm,5,means,counts,max_absolute_error,0.03019008431336507,0.003850612757552139,0.055577596900629994,100,100,100,episode
best_arm,5,bayes,counts,excess_brier,0.0186827025592138,-0.00769343476348452,0.044060640917552026,100,100,100,episode
best_arm,5,bayes,counts,excess_log_loss,0.674511206992635,0.45997990267305694,0.8901298556912088,100,100,100,episode
best_arm,5,bayes,counts,max_absolute_error,0.021226364055601094,-0.0031527445263674378,0.04516231718970357,100,100,100,episode
best_arm,5,bayes,means,excess_brier,-0.007109424100763175,-0.019407395397106484,0.005992994554061142,100,100,100,episode
best_arm,5,bayes,means,excess_log_loss,-0.18851100576420776,-0.3705132294129344,-0.008118355195682155,100,100,100,episode
best_arm,5,bayes,means,max_absolute_error,-0.008963720257763973,-0.022893421847187154,0.005735938972208694,100,100,100,episode
best_arm,10,means,counts,excess_brier,0.06342095229732957,0.02732317147362776,0.09891545318288292,100,100,100,episode
best_arm,10,means,counts,excess_log_loss,1.257111874085677,0.9725766826468899,1.5610365737435181,100,100,100,episode
best_arm,10,means,counts,max_absolute_error,0.06342850689433818,0.033196268679902115,0.09312239678193386,100,100,100,episode
best_arm,10,bayes,counts,excess_brier,0.061538199266319295,0.024987134811482577,0.09691968543199027,100,100,100,episode
best_arm,10,bayes,counts,excess_log_loss,1.2701148640409128,0.9519031327043115,1.5972719572668754,100,100,100,episode
best_arm,10,bayes,counts,max_absolute_error,0.059620164611072723,0.029381435226608577,0.08854102264044697,100,100,100,episode
best_arm,10,bayes,means,excess_brier,-0.001882753031010263,-0.015987624625621595,0.013179286169906523,100,100,100,episode
