experiment,family,k,horizon,policy,phase,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_direct,early,posterior_mean_greedy,1.0,1.0,1.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,strict_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,unseen_arm,0.4175,0.40125,0.43375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,lower_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,equal_mean_higher_sd,0.045,0.0325,0.05875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,unequal_sd_greedy_tie_available,0.045,0.0325,0.05875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,posterior_mean_deficit,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,chosen_posterior_sd,0.2467880714286688,0.24441661634121675,0.24913401624433795,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,bayes_ucb_agreement,1.0,1.0,1.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,knowledge_gradient_agreement,0.935,0.92,0.95,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,bayes_ucb_top_set_size,1.30875,1.295,1.32375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,knowledge_gradient_top_set_size,1.30875,1.295,1.32375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,exact_loss,0.0008731733006298836,0.0005405358527708804,0.0012473904294712623,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,strict_exploration_required,0.02625,0.01625,0.0375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,useful_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,inferior_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,early,exact_optimal_agreement,0.97375,0.9625,0.98375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,posterior_mean_greedy,0.99625,0.98875,1.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,strict_non_greedy,0.00375,0.0,0.01125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,unseen_arm,0.00125,0.0,0.00375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,lower_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,equal_mean_higher_sd,0.0125,0.005,0.02,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,unequal_sd_greedy_tie_available,0.015,0.0075,0.02375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,posterior_mean_deficit,0.00020618335053319565,0.0,0.000618550051599587,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,chosen_posterior_sd,0.10105312966742278,0.09786326210118206,0.10437631846660592,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_direct,late,bayes_ucb_agreement,0.63375,0.57,0.69375,200,800,post_hoc_behavioral
