experiment,horizon,policy,metric,mean,ci_low,ci_high,n_fixtures
e1_horizon,1,counts_explore,absolute_choice_order_sensitivity,0.165,0.1,0.24,100
e1_horizon,1,counts_explore,signed_choice_order_sensitivity,0.125,0.055,0.2,100
e1_horizon,1,counts_neutral,absolute_choice_order_sensitivity,0.15,0.085,0.22,100
e1_horizon,1,counts_neutral,signed_choice_order_sensitivity,0.11,0.045,0.18,100
e1_horizon,1,counts_regret,absolute_choice_order_sensitivity,0.225,0.15,0.305,100
e1_horizon,1,counts_regret,signed_choice_order_sensitivity,0.215,0.135,0.3,100
e1_horizon,2,counts_explore,absolute_choice_order_sensitivity,0.18,0.11,0.26,100
e1_horizon,2,counts_explore,signed_choice_order_sensitivity,0.1,0.02,0.18,100
e1_horizon,2,counts_neutral,absolute_choice_order_sensitivity,0.165,0.095,0.24,100
e1_horizon,2,counts_neutral,signed_choice_order_sensitivity,0.095,0.02,0.17,100
e1_horizon,2,counts_regret,absolute_choice_order_sensitivity,0.17,0.1,0.245,100
e1_horizon,2,counts_regret,signed_choice_order_sensitivity,0.17,0.1,0.245,100
e1_horizon,5,counts_explore,absolute_choice_order_sensitivity,0.145,0.08,0.215,100
e1_horizon,5,counts_explore,signed_choice_order_sensitivity,0.085,0.015,0.155,100
e1_horizon,5,counts_neutral,absolute_choice_order_sensitivity,0.095,0.04,0.155,100
e1_horizon,5,counts_neutral,signed_choice_order_sensitivity,0.085,0.03,0.145,100
e1_horizon,5,counts_regret,absolute_choice_order_sensitivity,0.175,0.105,0.25,100
e1_horizon,5,counts_regret,signed_choice_order_sensitivity,0.175,0.105,0.25,100
e1_horizon,10,counts_explore,absolute_choice_order_sensitivity,0.18,0.11,0.255,100
e1_horizon,10,counts_explore,signed_choice_order_sensitivity,0.13,0.055,0.21,100
e1_horizon,10,counts_neutral,absolute_choice_order_sensitivity,0.11,0.055,0.175,100
e1_horizon,10,counts_neutral,signed_choice_order_sensitivity,0.1,0.045,0.16,100
e1_horizon,10,counts_regret,absolute_choice_order_sensitivity,0.225,0.145,0.305,100
e1_horizon,10,counts_regret,signed_choice_order_sensitivity,0.225,0.145,0.305,100
e2_assistance,1,bayes_explore,absolute_choice_order_sensitivity,0.08,0.03,0.14,100
e2_assistance,1,bayes_explore,signed_choice_order_sensitivity,0.08,0.03,0.14,100
e2_assistance,1,counts_explore,absolute_choice_order_sensitivity,0.16,0.095,0.235,100
e2_assistance,1,counts_explore,signed_choice_order_sensitivity,0.03,-0.045,0.11,100
e2_assistance,1,dp_values_explore,absolute_choice_order_sensitivity,0.09,0.04,0.15,100
e2_assistance,1,dp_values_explore,signed_choice_order_sensitivity,0.09,0.04,0.15,100
e2_assistance,1,means_explore,absolute_choice_order_sensitivity,0.09,0.04,0.15,100
e2_assistance,1,means_explore,signed_choice_order_sensitivity,0.09,0.04,0.15,100
e2_assistance,1,recommendation_explore,absolute_choice_order_sensitivity,0.115,0.06,0.18,100
e2_assistance,1,recommendation_explore,signed_choice_order_sensitivity,0.115,0.055,0.18,100
e2_assistance,2,bayes_explore,absolute_choice_order_sensitivity,0.1,0.05,0.16,100
e2_assistance,2,bayes_explore,signed_choice_order_sensitivity,0.1,0.045,0.16,100
e2_assistance,2,counts_explore,absolute_choice_order_sensitivity,0.14,0.075,0.21,100
e2_assistance,2,counts_explore,signed_choice_order_sensitivity,0.02,-0.055,0.09,100
e2_assistance,2,dp_values_explore,absolute_choice_order_sensitivity,0.05,0.01,0.1,100
e2_assistance,2,dp_values_explore,signed_choice_order_sensitivity,0.05,0.01,0.1,100
e2_assistance,2,means_explore,absolute_choice_order_sensitivity,0.055,0.015,0.105,100
e2_assistance,2,means_explore,signed_choice_order_sensitivity,0.055,0.015,0.1,100
e2_assistance,2,recommendation_explore,absolute_choice_order_sensitivity,0.1,0.045,0.16,100
e2_assistance,2,recommendation_explore,signed_choice_order_sensitivity,0.1,0.045,0.16,100
e2_assistance,10,bayes_explore,absolute_choice_order_sensitivity,0.075,0.03,0.13,100
e2_assistance,10,bayes_explore,signed_choice_order_sensitivity,0.075,0.03,0.13,100
e2_assistance,10,counts_explore,absolute_choice_order_sensitivity,0.145,0.08,0.215,100
e2_assistance,10,counts_explore,signed_choice_order_sensitivity,0.085,0.01,0.16,100
e2_assistance,10,dp_values_explore,absolute_choice_order_sensitivity,0.05,0.01,0.1,100
e2_assistance,10,dp_values_explore,signed_choice_order_sensitivity,0.05,0.01,0.1,100
e2_assistance,10,means_explore,absolute_choice_order_sensitivity,0.06,0.02,0.11,100
e2_assistance,10,means_explore,signed_choice_order_sensitivity,0.06,0.02,0.11,100
e2_assistance,10,recommendation_explore,absolute_choice_order_sensitivity,0.135,0.075,0.2,100
e2_assistance,10,recommendation_explore,signed_choice_order_sensitivity,0.135,0.075,0.2,100
