experiment,family,k,horizon,policy,episode_id,normative_reference,normative_interpretation,phase,n_turns,posterior_mean_greedy,strict_non_greedy,unseen_arm,lower_mean_higher_sd,equal_mean_higher_sd,unequal_sd_greedy_tie_available,posterior_mean_deficit,chosen_posterior_sd,bayes_ucb_agreement,knowledge_gradient_agreement,bayes_ucb_top_set_size,knowledge_gradient_top_set_size,exact_loss,strict_exploration_required,useful_non_greedy,inferior_non_greedy,neutral_non_greedy,exact_optimal_agreement
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:0,exact_e3,matched_prior,early,4,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2295066405751749,1.0,0.75,1.25,1.25,0.008315936196475082,0.25,0.0,0.0,0.0,0.75
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:0,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13484405969860072,0.3333333333333333,0.8333333333333334,1.0,1.0,0.010303822994609671,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:0,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10210023011482694,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:0,exact_e3,matched_prior,early,4,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2295066405751749,1.0,0.75,1.25,1.25,0.008315936196475082,0.25,0.0,0.0,0.0,0.75
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:0,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13484405969860072,0.3333333333333333,0.8333333333333334,1.0,1.0,0.010303822994609671,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:0,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10210023011482694,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:0,exact_e3,matched_prior,early,4,0.75,0.25,0.5,0.25,0.0,0.0,0.024999999999999994,0.2516754242238781,0.75,1.0,1.25,1.25,0.0,0.25,0.25,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:0,exact_e3,matched_prior,middle,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1587143549716298,0.6666666666666666,0.75,1.0833333333333333,1.0833333333333333,0.0059149094051690705,0.25,0.0,0.0,0.0,0.75
e3_exact_online,prior,2,20,counts_sample,e3_exact_online:prior:2:0,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1127638746291782,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:0,exact_e3,matched_prior,early,4,0.5,0.5,0.5,0.5,0.0,0.0,0.08333333333333334,0.2621886974951644,0.5,0.5,1.25,1.25,0.06498240092016427,0.0,0.0,0.5,0.0,0.5
