experiment,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_fixtures,unit
e1_horizon,1,counts_explore,counts_neutral,exact_loss,-0.00012499999999999998,-0.0009999999999999998,0.0005952380952380951,100,underlying fixture
e1_horizon,1,counts_explore,counts_neutral,distribution_exact_loss,0.0006276893939393944,-0.0005713870400432873,0.0018414414231601728,100,underlying fixture
e1_horizon,1,counts_explore,counts_neutral,optimal_agreement,0.0025,-0.01,0.0175,100,underlying fixture
e1_horizon,1,counts_explore,counts_neutral,posterior_mean_greedy,0.0025,-0.01,0.0175,100,underlying fixture
e1_horizon,1,counts_explore,counts_neutral,prediction_entropy,-0.003185046298689905,-0.012369628150587623,0.0063275264823916,100,underlying fixture
e1_horizon,1,counts_explore,counts_regret,exact_loss,-0.006280303030303029,-0.01128030303030303,-0.002151515151515151,100,underlying fixture
e1_horizon,1,counts_explore,counts_regret,distribution_exact_loss,-0.004679015151515157,-0.00669619602272728,-0.002983816423160176,100,underlying fixture
e1_horizon,1,counts_explore,counts_regret,optimal_agreement,0.0375,0.015,0.065,100,underlying fixture
e1_horizon,1,counts_explore,counts_regret,posterior_mean_greedy,0.0375,0.015,0.065,100,underlying fixture
e1_horizon,1,counts_explore,counts_regret,prediction_entropy,-0.01148228245308319,-0.024269444756444308,0.0014295652259950966,100,underlying fixture
e1_horizon,1,counts_neutral,counts_regret,exact_loss,-0.00615530303030303,-0.01117978896103896,-0.002091382575757576,100,underlying fixture
e1_horizon,1,counts_neutral,counts_regret,distribution_exact_loss,-0.005306704545454553,-0.008013585362554124,-0.003146839826839834,100,underlying fixture
e1_horizon,1,counts_neutral,counts_regret,optimal_agreement,0.035,0.0125,0.06,100,underlying fixture
e1_horizon,1,counts_neutral,counts_regret,posterior_mean_greedy,0.035,0.0125,0.06,100,underlying fixture
e1_horizon,1,counts_neutral,counts_regret,prediction_entropy,-0.008297236154393284,-0.023894254003918505,0.007845750726166039,100,underlying fixture
e1_horizon,2,counts_explore,counts_neutral,exact_loss,-0.0013522727272727271,-0.003681818181818183,0.0004318181818181827,100,underlying fixture
e1_horizon,2,counts_explore,counts_neutral,distribution_exact_loss,0.0096855984233158,0.00725741911530497,0.01207333929747787,100,underlying fixture
e1_horizon,2,counts_explore,counts_neutral,optimal_agreement,0.0075,-0.01,0.025,100,underlying fixture
e1_horizon,2,counts_explore,counts_neutral,posterior_mean_greedy,0.005,-0.01,0.02,100,underlying fixture
e1_horizon,2,counts_explore,counts_neutral,prediction_entropy,0.1363705883233486,0.11905547324638177,0.15345993473375447,100,underlying fixture
e1_horizon,2,counts_explore,counts_regret,exact_loss,-0.0030275738753999626,-0.007123376623376627,0.000156408808582722,100,underlying fixture
e1_horizon,2,counts_explore,counts_regret,distribution_exact_loss,-0.0022942151688890755,-0.0037217827575504302,-0.0009725430599744338,100,underlying fixture
e1_horizon,2,counts_explore,counts_regret,optimal_agreement,0.005,-0.0225,0.035,100,underlying fixture
e1_horizon,2,counts_explore,counts_regret,posterior_mean_greedy,0.005,-0.0225,0.035,100,underlying fixture
e1_horizon,2,counts_explore,counts_regret,prediction_entropy,0.021918423638539967,0.011465080351368558,0.03218700143245541,100,underlying fixture
e1_horizon,2,counts_neutral,counts_regret,exact_loss,-0.0016753011481272354,-0.003941571969696969,5.641057312252932e-05,100,underlying fixture
e1_horizon,2,counts_neutral,counts_regret,distribution_exact_loss,-0.011979813592204873,-0.01419813227714313,-0.0098416880764163,100,underlying fixture
e1_horizon,2,counts_neutral,counts_regret,optimal_agreement,-0.0025,-0.0275,0.0225,100,underlying fixture
e1_horizon,2,counts_neutral,counts_regret,posterior_mean_greedy,0.0,-0.0225,0.0225,100,underlying fixture
e1_horizon,2,counts_neutral,counts_regret,prediction_entropy,-0.11445216468480865,-0.13339283210453398,-0.09482498376324411,100,underlying fixture
e1_horizon,5,counts_explore,counts_neutral,exact_loss,-0.004920214447388354,-0.009883427969976866,-0.0011215602030819427,100,underlying fixture
e1_horizon,5,counts_explore,counts_neutral,distribution_exact_loss,0.006870176719087707,0.004456109621450005,0.009250069461083484,100,underlying fixture
e1_horizon,5,counts_explore,counts_neutral,optimal_agreement,0.035,0.005,0.07,100,underlying fixture
e1_horizon,5,counts_explore,counts_neutral,posterior_mean_greedy,0.0225,-0.005,0.055,100,underlying fixture
e1_horizon,5,counts_explore,counts_neutral,prediction_entropy,0.12624072375307255,0.10972991651648713,0.14294872982726128,100,underlying fixture
e1_horizon,5,counts_explore,counts_regret,exact_loss,-0.003529481474357239,-0.008715892291154301,0.0004048364958885198,100,underlying fixture
e1_horizon,5,counts_explore,counts_regret,distribution_exact_loss,-0.0050453572108831325,-0.006765544268539831,-0.003412055401136393,100,underlying fixture
e1_horizon,5,counts_explore,counts_regret,optimal_agreement,0.025,-0.01,0.0625,100,underlying fixture
