experiment,horizon,policy,metric,mean,ci_low,ci_high,n_fixtures,n_queries
e1_horizon,1,counts_explore,exact_loss,0.004938311688311687,0.0014615800865800863,0.009069331709956706,100,400
e1_horizon,1,counts_explore,distribution_exact_loss,0.00971439393939394,0.00609572591991342,0.01380020386904762,100,400
e1_horizon,1,counts_explore,optimal_agreement,0.935,0.8875,0.975,100,400
e1_horizon,1,counts_explore,posterior_mean_greedy,0.935,0.8875,0.975,100,400
e1_horizon,1,counts_explore,prediction_entropy,0.21911438702182284,0.17209060799246742,0.26724937657058545,100,400
e1_horizon,1,counts_neutral,exact_loss,0.005063311688311687,0.0016639610389610386,0.009359848484848483,100,400
e1_horizon,1,counts_neutral,distribution_exact_loss,0.009086704545454545,0.005773433441558441,0.01285386715367965,100,400
e1_horizon,1,counts_neutral,optimal_agreement,0.9325,0.8825,0.975,100,400
e1_horizon,1,counts_neutral,posterior_mean_greedy,0.9325,0.885,0.975,100,400
e1_horizon,1,counts_neutral,prediction_entropy,0.22229943332051277,0.1752409283622145,0.27199419901872407,100,400
e1_horizon,1,counts_regret,exact_loss,0.011218614718614716,0.005735930735930736,0.017260389610389608,100,400
e1_horizon,1,counts_regret,distribution_exact_loss,0.014393409090909096,0.009367310200216456,0.019987006087662337,100,400
e1_horizon,1,counts_regret,optimal_agreement,0.8975,0.8425,0.945,100,400
e1_horizon,1,counts_regret,posterior_mean_greedy,0.8975,0.8425,0.945,100,400
e1_horizon,1,counts_regret,prediction_entropy,0.23059666947490606,0.1885595210215976,0.27405239028307943,100,400
e1_horizon,2,counts_explore,exact_loss,0.011608091184178134,0.005946971144797229,0.018254790318377262,100,400
e1_horizon,2,counts_explore,distribution_exact_loss,0.02503476041168977,0.02092536383023679,0.029466337998505125,100,400
e1_horizon,2,counts_explore,optimal_agreement,0.835,0.765,0.9,100,400
e1_horizon,2,counts_explore,posterior_mean_greedy,0.91,0.855,0.96,100,400
e1_horizon,2,counts_explore,prediction_entropy,0.36859317564576904,0.332419608615412,0.4061172598513722,100,400
e1_horizon,2,counts_neutral,exact_loss,0.012960363911450858,0.007078215760688579,0.019659776817385507,100,400
e1_horizon,2,counts_neutral,distribution_exact_loss,0.015349161988373963,0.010625172625608118,0.020684699205459407,100,400
e1_horizon,2,counts_neutral,optimal_agreement,0.8275,0.7575,0.8925,100,400
e1_horizon,2,counts_neutral,posterior_mean_greedy,0.905,0.85,0.955,100,400
e1_horizon,2,counts_neutral,prediction_entropy,0.23222258732242035,0.19000475507238934,0.2773056503574559,100,400
e1_horizon,2,counts_regret,exact_loss,0.014635665059578095,0.008240206306374783,0.021966569028797282,100,400
e1_horizon,2,counts_regret,distribution_exact_loss,0.027328975580578837,0.022454880330719997,0.03271078726594962,100,400
e1_horizon,2,counts_regret,optimal_agreement,0.83,0.7575,0.895,100,400
e1_horizon,2,counts_regret,posterior_mean_greedy,0.905,0.8475,0.955,100,400
e1_horizon,2,counts_regret,prediction_entropy,0.34667475200722914,0.31327329819230937,0.3814786063667462,100,400
e1_horizon,5,counts_explore,exact_loss,0.014667641778511377,0.008569618933301017,0.021403424719905743,100,400
e1_horizon,5,counts_explore,distribution_exact_loss,0.026048979961251603,0.021727321744551425,0.03047363117781657,100,400
e1_horizon,5,counts_explore,optimal_agreement,0.8075,0.73,0.8775,100,400
e1_horizon,5,counts_explore,posterior_mean_greedy,0.925,0.875,0.97,100,400
e1_horizon,5,counts_explore,prediction_entropy,0.35282784161620967,0.3171452356084946,0.3897557005542609,100,400
e1_horizon,5,counts_neutral,exact_loss,0.01958785622589973,0.011904545807453428,0.027978221253384325,100,400
e1_horizon,5,counts_neutral,distribution_exact_loss,0.019178803242163898,0.013755417952209421,0.025036203363079382,100,400
e1_horizon,5,counts_neutral,optimal_agreement,0.7725,0.69,0.850062499999999,100,400
e1_horizon,5,counts_neutral,posterior_mean_greedy,0.9025,0.8425,0.955,100,400
e1_horizon,5,counts_neutral,prediction_entropy,0.22658711786313712,0.18802662327572997,0.26787287000483917,100,400
e1_horizon,5,counts_regret,exact_loss,0.018197123252868617,0.010765059072440698,0.026408317676543634,100,400
e1_horizon,5,counts_regret,distribution_exact_loss,0.031094337172134737,0.026047497480707497,0.036402810535185806,100,400
e1_horizon,5,counts_regret,optimal_agreement,0.7825,0.705,0.855,100,400
e1_horizon,5,counts_regret,posterior_mean_greedy,0.9075,0.85,0.9575,100,400
e1_horizon,5,counts_regret,prediction_entropy,0.35047459297124806,0.3189117504453178,0.3820674079299274,100,400
e1_horizon,10,counts_explore,exact_loss,0.013864249463271496,0.008450761770011311,0.019758870894470953,100,400
e1_horizon,10,counts_explore,distribution_exact_loss,0.028602233799736157,0.024521863542258233,0.03279653578275655,100,400
e1_horizon,10,counts_explore,optimal_agreement,0.845,0.78,0.905,100,400
e1_horizon,10,counts_explore,posterior_mean_greedy,0.9425,0.9,0.9775,100,400
e1_horizon,10,counts_explore,prediction_entropy,0.36921966199794093,0.3341837821625553,0.4059912173362624,100,400
e1_horizon,10,counts_neutral,exact_loss,0.02070033472121815,0.01276072631549272,0.029153549208659774,100,400
e1_horizon,10,counts_neutral,distribution_exact_loss,0.021430887520175315,0.015873733081914847,0.027441562162356242,100,400
e1_horizon,10,counts_neutral,optimal_agreement,0.77,0.6875,0.8475,100,400
e1_horizon,10,counts_neutral,posterior_mean_greedy,0.9325,0.8825,0.975,100,400
e1_horizon,10,counts_neutral,prediction_entropy,0.23881123363079992,0.19750250859544213,0.28127190528220886,100,400
e1_horizon,10,counts_regret,exact_loss,0.021357979325103152,0.013858095197293559,0.02957263349017231,100,400
e1_horizon,10,counts_regret,distribution_exact_loss,0.03476533127205519,0.02933631442128179,0.04049978065334712,100,400
e1_horizon,10,counts_regret,optimal_agreement,0.7825,0.705,0.8525,100,400
e1_horizon,10,counts_regret,posterior_mean_greedy,0.9075,0.855,0.9525,100,400
e1_horizon,10,counts_regret,prediction_entropy,0.3591593785767559,0.3286098479110788,0.3895910930727689,100,400
e2_assistance,1,bayes_explore,exact_loss,0.0,0.0,0.0,100,400
