family,policy,metric,mean,ci_low,ci_high,n_episodes,expected_episodes,analysis_role
clear,bayes_direct,exact_loss,0.8676521077746541,0.5116041432992912,1.264962392417528,40,40,post_hoc_two_arm_normative_audit
clear,bayes_direct,optimal_agreement,0.71875,0.616,0.8182499999999999,40,40,post_hoc_two_arm_normative_audit
clear,bayes_direct,pseudo_regret,3.339999999999999,1.01,6.33,40,40,post_hoc_two_arm_normative_audit
clear,bayes_direct,reward,66.3,62.775,69.3,40,40,post_hoc_two_arm_normative_audit
clear,bayes_sample,exact_loss,1.8544736256686065,1.633619893816797,2.086613936385352,40,40,post_hoc_two_arm_normative_audit
clear,bayes_sample,optimal_agreement,0.8879999999999999,0.8535,0.91625,40,40,post_hoc_two_arm_normative_audit
clear,bayes_sample,pseudo_regret,3.25,2.78,3.75,40,40,post_hoc_two_arm_normative_audit
clear,bayes_sample,reward,66.35,64.7,67.975,40,40,post_hoc_two_arm_normative_audit
clear,bayes_ucb,exact_loss,0.3561676461889209,0.2502257730815587,0.4755688634658497,40,40,post_hoc_two_arm_normative_audit
clear,bayes_ucb,optimal_agreement,0.9727499999999999,0.967,0.9780000000000001,40,40,post_hoc_two_arm_normative_audit
clear,bayes_ucb,pseudo_regret,1.9600000000000002,1.5799999999999998,2.37,40,40,post_hoc_two_arm_normative_audit
clear,bayes_ucb,reward,67.775,66.15,69.32562499999999,40,40,post_hoc_two_arm_normative_audit
clear,counts_direct,exact_loss,1.420068364634314,0.8468158921314888,2.058474172719441,40,40,post_hoc_two_arm_normative_audit
clear,counts_direct,optimal_agreement,0.6609999999999999,0.54374375,0.7737562499999999,40,40,post_hoc_two_arm_normative_audit
clear,counts_direct,pseudo_regret,2.55,0.6299999999999999,5.06,40,40,post_hoc_two_arm_normative_audit
clear,counts_direct,reward,67.45,64.65,69.85,40,40,post_hoc_two_arm_normative_audit
clear,counts_sample,exact_loss,2.2332056582980586,1.9417205660859505,2.524161481639431,40,40,post_hoc_two_arm_normative_audit
