experiment,horizon,comparison_role,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,n_cells,status
e3_exact_online,20,secondary_baseline,bayes_direct,bayes_ucb,pseudo_regret,0.03284191158427396,-0.10663990937225747,0.17870989678012458,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,bayes_ucb,reward,0.005,-0.17,0.17,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,bayes_ucb,exact_loss,0.006853745414746941,-0.013986658291001139,0.029011330458775367,200,200,200,episode,1,ok
e3_exact_online,20,primary_assistance,bayes_direct,counts_direct,pseudo_regret,-0.05027002130087478,-0.17865715277306243,0.06495975154299821,200,200,200,episode,1,ok
e3_exact_online,20,primary_assistance,bayes_direct,counts_direct,reward,0.11,-0.025,0.25,200,200,200,episode,1,ok
e3_exact_online,20,primary_assistance,bayes_direct,counts_direct,exact_loss,-0.1202830658122067,-0.16103147755561323,-0.08323263598138923,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,bayes_direct,exact,pseudo_regret,0.06515275218595563,-0.05629157832019472,0.19346095925243392,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,bayes_direct,exact,reward,-0.07,-0.235,0.085,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,bayes_direct,exact,exact_loss,0.06488700468448272,0.04625384761554945,0.08490271757549858,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,finite_ap_index,pseudo_regret,0.07317313616752222,-0.04382935588465023,0.20449049360907584,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,finite_ap_index,reward,-0.05,-0.22,0.115,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,finite_ap_index,exact_loss,0.06324370235071367,0.04498278502075825,0.08397528050746497,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,greedy,pseudo_regret,0.16645909203266832,0.036534531390046955,0.3159272961066684,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,greedy,reward,-0.125,-0.29,0.025,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,greedy,exact_loss,0.0025378107088263203,-0.018950595459103697,0.02449079052226381,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,ids,pseudo_regret,0.041589601827525725,-0.06541786263251999,0.15553740412591605,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,ids,reward,-0.035,-0.185,0.11,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,ids,exact_loss,0.028736299268914273,0.010082667175464312,0.04829536022877056,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,knowledge_gradient,pseudo_regret,-0.0010181839348273015,-0.12395308510399025,0.12859213765131272,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,knowledge_gradient,reward,0.03,-0.15,0.205,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,knowledge_gradient,exact_loss,0.03328841378536038,0.011863418860149815,0.056031545830936946,200,200,200,episode,1,ok
e3_exact_online,20,primary_vs_ts,bayes_direct,ts,pseudo_regret,-0.5114066038270029,-0.6486044349784029,-0.36518967352990267,200,200,200,episode,1,ok
e3_exact_online,20,primary_vs_ts,bayes_direct,ts,reward,0.625,0.405,0.845,200,200,200,episode,1,ok
e3_exact_online,20,primary_vs_ts,bayes_direct,ts,exact_loss,-0.43762775406430604,-0.4853782257508424,-0.38871701343589465,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,ucb1,pseudo_regret,-0.8988740988678791,-1.087003661793741,-0.7086175504603093,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,ucb1,reward,0.975,0.72,1.225,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_direct,ucb1,exact_loss,-0.8676410600763441,-0.9388619465058204,-0.7974397208409353,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,bayes_sample,bayes_direct,pseudo_regret,0.39986639219476294,0.27394573497482255,0.5218933725665109,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,bayes_sample,bayes_direct,reward,-0.56,-0.725,-0.395,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,bayes_sample,bayes_direct,exact_loss,0.350326624264593,0.29554200125278235,0.4063616695902,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,bayes_ucb,pseudo_regret,0.4327083037790369,0.3088306078766271,0.5610009425064181,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,bayes_sample,bayes_ucb,reward,-0.555,-0.725,-0.39,200,200,200,episode,1,ok
